index,label,trace,logdet,off_diag_mass
0,7,27.082752227783203,-6868.45703125,3676.611083984375
1,2,23.883569717407227,-6866.93701171875,2890.749267578125
2,1,28.757341384887695,-6865.2919921875,3253.093505859375
3,0,24.678573608398438,-6869.1259765625,2969.90380859375
4,4,27.927377700805664,-6866.7216796875,3199.30859375
5,1,29.13228988647461,-6867.69580078125,4077.58251953125
6,4,27.402301788330078,-6867.56201171875,3275.6591796875
7,9,28.99925422668457,-6865.6376953125,3532.46435546875
8,5,27.744102478027344,-6867.62744140625,3175.670654296875
9,9,23.87152671813965,-6869.70068359375,3033.396240234375
10,0,29.278310775756836,-6864.31982421875,3483.01904296875
11,6,21.75435447692871,-6868.8251953125,2595.07275390625
12,9,28.721878051757812,-6865.533203125,3538.659423828125
13,0,27.13603401184082,-6867.78955078125,3298.890380859375
14,1,32.26413345336914,-6863.76416015625,3998.60498046875
15,5,26.80094337463379,-6867.02734375,3318.863037109375
16,9,26.8019962310791,-6868.904296875,3658.72607421875
17,7,27.81591033935547,-6866.7939453125,3148.377685546875
18,3,28.908843994140625,-6865.552734375,3576.7333984375
19,4,28.361560821533203,-6868.4296875,3684.850341796875
20,9,27.209369659423828,-6868.02587890625,3540.21533203125
21,6,31.610673904418945,-6862.33154296875,3739.90380859375
22,6,28.785152435302734,-6867.4462890625,3636.80126953125
23,5,31.73724937438965,-6864.9365234375,3992.18798828125
24,4,30.72685432434082,-6863.33544921875,3605.536376953125
25,0,31.64656639099121,-6864.400390625,3809.659912109375
26,7,30.21211814880371,-6865.37939453125,3772.43896484375
27,4,31.433626174926758,-6864.4970703125,3601.10107421875
28,0,27.0882625579834,-6868.4951171875,3443.51904296875
29,1,29.209087371826172,-6866.93212890625,3502.76220703125
30,3,24.89546775817871,-6867.2861328125,3351.189697265625
31,1,32.55049133300781,-6863.50830078125,3856.8857421875
32,3,23.520021438598633,-6868.2216796875,2813.53759765625
33,4,23.707426071166992,-6866.58642578125,2732.900390625
34,7,31.375102996826172,-6863.59814453125,3943.865966796875
35,2,18.874399185180664,-6870.818359375,2295.605224609375
36,7,26.103729248046875,-6867.56103515625,3055.1787109375
37,1,28.97641372680664,-6865.92236328125,3646.409423828125
38,2,28.23468780517578,-6866.24609375,3400.464599609375
39,1,28.851463317871094,-6866.03466796875,3521.6845703125
40,1,25.765033721923828,-6867.93115234375,3270.1962890625
41,7,27.051326751708984,-6866.06396484375,3142.087158203125
42,4,29.591936111450195,-6867.1357421875,3653.08935546875
43,2,29.76894187927246,-6866.2451171875,3680.168701171875
44,3,28.36739158630371,-6866.9931640625,3678.7412109375
45,5,26.128456115722656,-6867.84814453125,3215.416748046875
46,1,28.053308486938477,-6867.06640625,3251.0068359375
47,2,27.746824264526367,-6867.93603515625,3579.681640625
48,4,23.860763549804688,-6869.13720703125,2703.080810546875
49,4,29.208526611328125,-6867.11328125,3894.9423828125
50,6,28.494487762451172,-6865.587890625,3360.4716796875
51,3,25.909719467163086,-6866.423828125,2925.060546875
52,5,25.563621520996094,-6867.87646484375,3032.119873046875
53,5,26.919483184814453,-6866.72900390625,3350.328125
54,6,31.3926944732666,-6863.90234375,3841.25537109375
55,0,27.797178268432617,-6865.3779296875,3295.76025390625
56,4,26.693771362304688,-6866.6318359375,3255.327880859375
57,1,30.24896240234375,-6865.8681640625,3762.83642578125
