index,label,predicted,correct,trace,logdet,off_diag_mass,entropy,mutual_information,confidence
0,7,2,False,11.735260963439941,-6364.8955078125,197.56332397460938,2.3023014068603516,2.3603439331054688e-05,0.103944793343544
1,2,2,True,19.066072463989258,-6364.0263671875,200.6092071533203,2.302417278289795,3.457069396972656e-05,0.1028607115149498
2,1,0,False,18.005279541015625,-6367.37451171875,186.64340209960938,2.302539825439453,2.6702880859375e-05,0.10101506114006042
3,0,0,True,13.09029483795166,-6367.63720703125,182.3597412109375,2.3025567531585693,1.4781951904296875e-05,0.10072151571512222
4,4,7,False,12.822306632995605,-6364.57470703125,199.1725311279297,2.302523612976074,1.621246337890625e-05,0.10130564868450165
5,1,8,False,15.4017972946167,-6367.48486328125,192.1729736328125,2.3025600910186768,1.3828277587890625e-05,0.10072600841522217
6,4,2,False,16.951507568359375,-6361.1123046875,211.0386505126953,2.302532434463501,1.9550323486328125e-05,0.10104289650917053
7,9,8,False,15.339886665344238,-6361.84033203125,207.9922332763672,2.302541732788086,1.71661376953125e-05,0.10114993155002594
8,5,7,False,14.048820495605469,-6354.91015625,232.36566162109375,2.302549362182617,1.1920928955078125e-05,0.1010906770825386
9,9,2,False,15.928458213806152,-6365.0009765625,193.67575073242188,2.302520275115967,2.3603439331054688e-05,0.10155021399259567
10,0,0,True,19.921640396118164,-6371.45849609375,182.73036193847656,2.3025240898132324,3.266334533691406e-05,0.10153848677873611
11,6,2,False,17.1820068359375,-6364.4482421875,200.57598876953125,2.3025457859039307,1.811981201171875e-05,0.10087943077087402
12,9,9,True,12.608139038085938,-6366.66796875,189.69593811035156,2.302513837814331,1.6450881958007812e-05,0.10111944377422333
13,0,0,True,14.899688720703125,-6366.005859375,191.6114044189453,2.302521228790283,2.1696090698242188e-05,0.10178495943546295
14,1,2,False,24.46681785583496,-6367.439453125,189.40306091308594,2.3025310039520264,3.0994415283203125e-05,0.10094934701919556
15,5,6,False,14.394035339355469,-6366.365234375,194.14395141601562,2.302495241165161,1.6689300537109375e-05,0.10153813660144806
16,9,9,True,18.228586196899414,-6362.52197265625,207.12107849121094,2.3025004863739014,2.5510787963867188e-05,0.10139063745737076
